idemp,nome,status,ano,setor,endiv1,tang1,risco,lntam,z1,mb,roa,lucrat2,higrow
448,Marcopolo SA,ativo,2007,Veiculos e peças,0.191021388,0.083458323,0.015624866,21.07080447,4.160125344,1.432371713,0.051267151,0.049547923,1
142,Aes Tiete S.A.,ativo,2007,Energia Elétrica,0.157326916,0.479205,0.075953132,21.10030952,5.619242192,3.298038789,0.41178043,0.70684679,1
40,Minerva S/A,ativo,2007,Alimentos e Beb,0.394302586,0.242642182,,21.10239039,2.782937556,0.996142297,0.046807769,0.043767133,0
449,Mahle Metal Leve S.A.,ativo,2007,Veiculos e peças,0.220210989,0.360610739,0.073929549,21.10894584,4.086817484,1.156718254,0.131315764,0.097980843,0
134,Positivo Informatica S.A.,ativo,2007,Eletroeletrônicos,0.003762817,0.02206298,,21.18600565,161.5494965,4.043990392,0.090315198,0.053709346,1
189,Rge Rio Grande Energia SA,cancelado,2007,Energia Elétrica,0.292215301,0.621289358,0.023150095,21.19440944,2.437791098,1.051342875,0.115909131,0.195379021,0
161,Companhia Energetica do Ceara - Coelce,ativo,2007,Energia Elétrica,0.251046718,0.598168827,0.052006615,21.25529135,2.895198783,0.866966509,0.136510143,0.206717431,0
295,Confab Industrial SA,ativo,2007,Siderur & Metalur,0.016757214,0.128987821,0.136564377,21.27810165,37.39296359,1.251167876,0.187175296,0.187002592,0
276,Suzano Petroquimica S.A.,ativo,2007,Química,0.336953851,0.216483072,0.014171317,21.36213527,2.372395168,1.360609673,0.017774589,0.023695877,0
70,Lojas Renner SA,ativo,2007,Comércio,0.027022052,0.199911291,0.042675398,21.37108819,23.84724423,3.244379776,0.155298564,0.112657178,1
286,Acos Villares SA,ativo,2007,Siderur & Metalur,0.138770722,0.367902278,0.036156018,21.39649598,6.326867248,1.955944432,0.257494695,0.225306545,1
155,Cia Energ de Pernambuco,ativo,2007,Energia Elétrica,0.337389103,0.35379536,0.031224633,21.41049856,2.502658801,0.984947663,0.143098767,0.238640262,0
22,Eleva Alimentos S/A,cancelado,2007,Alimentos e Beb,0.273381416,0.327991274,0.027770923,21.45282787,3.067907946,1.495449365,-0.013034969,-0.009748468,1
284,Yara Brasil Fertilizantes S/A,ativo,2007,Química,0.004137173,0.13460408,0.131986743,21.47628818,146.0683336,2.01065775,0.023122124,0.0163944,1
144,Ampla Energia e Servicos S.A.,ativo,2007,Energia Elétrica,0.288717286,0.520054533,0.042491207,21.47783544,2.420880164,1.318810548,0.10798486,0.24417171,0
159,Cesp - Companhia Energetica de Sao Paulo,ativo,2007,Energia Elétrica,0.216609446,0.881576297,0.027389766,21.50337298,2.425040845,0.86092746,0.051960734,0.467942977,0
77,Profarma Distrib. Produtos Farmaceuticos,ativo,2007,Comércio,0.126158446,0.016179955,,21.52773836,7.636456891,1.612725583,0.067619418,0.027946556,1
234,Votorantim Celulose e Papel SA,ativo,2007,Papel e Celulose,0.139429655,0.370948169,0.063036245,21.53205777,4.13652724,1.462624036,0.001465181,0.005735807,1
39,Marfrig Frigorificos e Com. Alimentos SA,ativo,2007,Alimentos e Beb,0.361016828,0.172937493,,21.5342876,2.34395432,1.291712911,0.07858385,0.131597285,0
168,Elektro Eletricidade e Servicos S/A,ativo,2007,Energia Elétrica,0.123592222,0.515229815,0.078926094,21.53689153,6.218431774,2.279751385,0.267074108,0.316073992,1
256,Fertilizantes Heringer S.A.,ativo,2007,Química,0.233697905,0.140620812,,21.53900138,4.234760855,0.961873621,0.057328865,0.032830747,0
55,B2w Companhia Global do Varejo,ativo,2007,Comércio,0.062239342,0.023979191,,21.58089175,11.06216839,5.055344392,0.166996829,0.118786524,1
225,Aracruz Celulose SA,ativo,2007,Papel e Celulose,0.13991909,0.485662756,0.052790731,21.62624922,4.230027084,1.620630883,0.040802771,0.174849774,1
